Boat Name,Boat Type,Sail #,Rating,DW Rating,I,J,P,E,Max Hdsail,Rig Type,ISP,JSP,LOA,LWL,Beam,Draft,Displacement,Ballast,SLE,SLU,ASMG,ASF,DLR,SAD
Pescado Azul,Catalina 425,29,90.0,,55.33,15.5,50.33,17.33,100.0,MS,59.2,17.43,43.5,39.08,13.7,6.7,18100.0,7700.0,,,,,135.38385970699133,20.036637514767648
Christina,Morris 486,48604,90.0,564.0,57.25,17.58,51.6,19.0,100.0,FS,,23.33,48.08,42.1,13.1,6.06,32000.0,10200.0,53.5,58.03,27.8,31.0,191.45013304032472,15.737044940681203
Another Girl,Alerion Express 38-2,20,90.0,613.0,42.98,12.99,47.5,18.25,90.0,MS,,,38.3,30.1,10.3,5.92,13000.0,5000.0,,,,,212.81186963978305,20.585581276763147
Special Edition,Custom Wilderness 30,8258,93.0,573.0,39.083,11.75,34.333,11.5,150.0,FS,39.083,14.083,29.75,27.75,8.75,6.0,4600.0,1800.0,,,,,96.09943868526773,24.667110862979253
Serenade,Sabre Spirit,,93.0,613.0,45.5,12.87,45.5,16.55,108.0,FS,45.5,12.87,36.67,28.33,10.42,6.58,10500.0,3740.0,,,,,206.15864788127647,22.295275823910444
Katester,Sabre Spirit,227,93.0,621.0,45.5,12.87,45.5,16.55,90.0,FS,51.2,,36.67,28.33,10.42,6.58,9600.0,4000.0,,,,,188.4879066343099,23.668525307470805
American Beauty,New York 36,36046,93.0,659.0,42.1,12.7,46.5,16.0,125.0,FS,,,36.67,29.5,11.67,6.33,12170.0,4200.0,,,,,211.6296491573419,19.300195457771586
Giselle,Sabre 42,42887,96.0,,52.5,14.33,45.83,16.54,110.0,MS,,,41.75,34.0,12.66,6.833,18800.0,7800.0,,,,,213.53697188217842,17.05718192858314
Windswept Lady,X-362 Classic,50980,96.0,622.0,46.6,12.9,40.6,14.1,125.0,MS,46.6,12.9,35.1,30.4,11.4,6.2,12320.0,5170.0,42.3,46.8,22.9,26.7,195.76810577343636,17.570123157932635
Swell Patrol,Soverel 33-2,46924,96.0,556.0,42.5,12.75,41.0,13.0,155.0,MS,42.5,18.8,33.0,30.42,11.0,5.83,5800.0,2800.0,,,,,91.98189361584326,26.597666561383857
Flexi-Flyer,Soverel 33-2,18282,96.0,574.0,42.5,12.8,,13.0,155.0,MS,,,33.0,30.5,11.0,5.85,5800.0,2800.0,,,,,91.2599984769021,
Alpha,S&S 47 (Stevens 47),8502,96.0,596.0,54.0,18.75,47.0,17.33,150.0,MS,54.0,18.75,47.75,34.5,11.67,6.25,30000.0,13000.0,,,,,326.1489248174545,15.107517101010966
Good And Plenty,Soverel 33-2,18263,96.0,574.0,42.5,12.75,41.0,13.0,155.0,MS,41.0,12.75,33.0,30.5,11.0,5.85,5800.0,2800.0,,,,,91.2599984769021,26.597666561383857
Prime Number,Tartan 4100 SD,38107,96.0,602.0,57.0,15.0,47.75,17.22,106.0,MS,57.0,15.0,41.25,35.75,13.5,5.33,20400.0,8000.0,,,,,199.32143752379466,17.937743953124826
Freedom,Worth 40,18230,96.0,604.0,54.0,16.0,47.0,14.0,155.0,MS,16.0,,40.0,34.25,12.5,7.25,21000.0,7800.0,,,,,233.34019094227818,15.965643582129577
Concussion,Olson 30 OB,202,99.0,589.0,36.0,11.75,31.5,10.75,155.0,MS,35.9,11.67,30.0,27.5,9.33,5.08,3600.0,1800.0,33.3,37.73,21.0,21.82,77.2780938070194,25.904753860630287
Placebo,Soverel 33-2,115,99.0,573.0,42.5,12.75,45.5,13.0,100.0,FS,42.5,14.75,29.92,30.5,11.0,5.85,5800.0,2800.0,39.99,46.88,22.05,22.28,91.2599984769021,28.04524278544801
Ala Moana,Beneteau First 30,104,99.0,616.0,41.66,13.78,40.3,14.25,105.0,FS,42.16,15.78,31.7,27.6,10.5,6.25,8267.0,2403.0,43.7,48.6,26.9,28.82,175.53861728293586,22.43340369636377
Dragonsong,Olson 30 OB,87014,99.0,583.0,36.0,11.75,31.5,10.75,155.0,MS,35.9,11.67,30.0,27.5,9.33,5.08,3600.0,1800.0,,,,,77.2780938070194,25.904753860630287
Nina,Olson 29,27,99.0,580.0,34.0,11.0,32.5,11.5,155.0,FS,36.0,,29.67,27.5,9.33,5.58,3700.0,1950.0,,,,,79.42470752388105,24.97226406940244
Wysiwyg,Olson 30 OB,28132,99.0,583.0,36.0,11.75,31.5,10.75,155.0,MS,35.9,11.67,30.0,27.5,9.33,5.083,3600.0,1800.0,,,,,77.2780938070194,25.904753860630287
Zeus,Swan 391,######,99.0,,53.5,16.25,47.25,14.0,125.0,MS,53.5,16.25,39.99,33.1,2.47,7.4,20000.0,6800.0,,,,,246.2056392145028,16.589938295906745
Joyride,Express 34,41382,99.0,624.0,44.25,13.0,38.5,12.83,135.0,MS,44.25,,34.0,28.33,10.33,6.11,8000.0,3800.0,,,,,157.0732555285916,21.349711299399026
Flying Fish,Olson 30 OB,197,99.0,584.0,36.0,11.78,31.5,10.75,155.0,MS,35.92,11.67,30.0,27.5,9.33,5.1,3600.0,1800.0,,,,,77.2780938070194,25.941487337301194
X TA C,Olson 29,18457,99.0,585.0,34.0,11.0,32.42,11.42,155.0,MS,36.0,,29.67,27.5,9.33,5.25,3900.0,1900.0,,,,,83.71793495760436,23.997326548188706
Serenity,Beneteau Oceanis 41.1,0,99.0,564.0,52.59,16.96,50.52,15.45,125.0,FS,54.5,17.8,40.78,37.3,13.78,7.19,17750.0,5071.0,51.5,57.3,24.1,32.0,152.69465801295223,19.626035771322424
